Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Alabama,4300026.0,150337.0,698.0,48.0,1459.0,1274.0,9073.0,670.0,1615.0,443.0,311.0,101.0,760.0,2713.0,2867.0,1599.0,9619.0,1649.0,8331.0,749.0,286.0,1163.0,1353.0,7131.0,3570.0,124.0,227.0,4786.0,336.0,1.0
Alaska,568544.0,23555.0,181.0,3.0,337.0,163.0,3185.0,145.0,4758.0,493.0,163.0,3.0,70.0,128.0,233.0,26.0,1641.0,1498.0,4061.0,193.0,3598.0,1120.0,1065.0,1141.0,15718.0,151.0,153.0,554.0,267.0,2.0
Arizona,4536673.0,1272191.0,769.0,449.0,7010.0,3919.0,22354.0,3162.0,8044.0,5874.0,8082.0,914.0,6861.0,3965.0,9538.0,2328.0,29733.0,6473.0,10526.0,1856.0,253.0,3117.0,1580.0,22504.0,23037.0,82956.0,1466.0,20113.0,2402.0,4.0
Arkansas,2566546.0,144270.0,119.0,23.0,786.0,809.0,5268.0,188.0,734.0,519.0,288.0,76.0,523.0,1112.0,1423.0,1217.0,5332.0,990.0,1514.0,354.0,1436.0,672.0,2698.0,5206.0,2678.0,20.0,51.0,2471.0,12.0,5.0
California,20142054.0,10329154.0,7071.0,3062.0,60355.0,77729.0,107874.0,24694.0,156323.0,19250.0,20458.0,194290.0,196036.0,46351.0,166255.0,47754.0,1116569.0,142358.0,375856.0,77845.0,74530.0,47156.0,38367.0,539256.0,788136.0,1343.0,12448.0,168482.0,41414.0,6.0
Colorado,4106326.0,584233.0,723.0,165.0,5489.0,3595.0,25102.0,2053.0,16198.0,4717.0,2826.0,526.0,4720.0,1020.0,5433.0,1454.0,22831.0,6471.0,16134.0,1602.0,3167.0,2323.0,1892.0,19112.0,7195.0,2449.0,1330.0,10219.0,1763.0,8.0
Connecticut,2655586.0,385971.0,15723.0,329.0,33268.0,36016.0,10743.0,8840.0,9959.0,35829.0,5086.0,587.0,1932.0,6383.0,12704.0,6121.0,29268.0,3459.0,6540.0,2939.0,28.0,1089.0,2912.0,6994.0,9245.0,0.0,2750.0,10835.0,2682.0,9.0
Delaware,758393.0,59814.0,2354.0,67.0,2133.0,731.0,2381.0,1027.0,944.0,941.0,267.0,74.0,503.0,2241.0,2570.0,1287.0,6460.0,511.0,1972.0,163.0,30.0,116.0,105.0,1390.0,2205.0,0.0,35.0,1792.0,105.0,10.0
District of Columbia,503735.0,50782.0,567.0,18.0,2038.0,1676.0,2713.0,687.0,2144.0,511.0,476.0,126.0,1116.0,358.0,1380.0,440.0,5217.0,895.0,1195.0,74.0,39.0,309.0,41.0,899.0,1773.0,18.0,179.0,1852.0,648.0,11.0
Florida,13346251.0,3849991.0,386481.0,4215.0,49434.0,86583.0,64955.0,20150.0,39447.0,24119.0,17329.0,1975.0,10535.0,19180.0,22989.0,17424.0,65163.0,12190.0,20498.0,4694.0,1482.0,11475.0,4215.0,59694.0,64335.0,54.0,10249.0,53724.0,21073.0,12.0
