Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Alabama,4282398.0,150809.0,353.0,45.0,1581.0,1459.0,9895.0,901.0,1529.0,435.0,446.0,34.0,896.0,2867.0,2889.0,1435.0,9765.0,1586.0,7689.0,699.0,213.0,988.0,1193.0,6950.0,3195.0,130.0,119.0,4549.0,471.0,1.0
Alaska,564319.0,22548.0,210.0,4.0,395.0,211.0,3445.0,128.0,4794.0,508.0,126.0,3.0,72.0,143.0,292.0,105.0,1777.0,1912.0,4182.0,239.0,3631.0,1074.0,1408.0,867.0,14310.0,172.0,189.0,599.0,257.0,2.0
Arizona,4477793.0,1251975.0,922.0,420.0,7798.0,4307.0,22413.0,3146.0,7358.0,5781.0,8139.0,1447.0,6147.0,3936.0,8437.0,2366.0,28507.0,6150.0,10112.0,1864.0,186.0,3096.0,1644.0,21774.0,21888.0,84190.0,1629.0,18710.0,2722.0,4.0
Arkansas,2556997.0,142081.0,115.0,17.0,903.0,1166.0,5442.0,141.0,607.0,365.0,195.0,78.0,511.0,1104.0,1421.0,882.0,4708.0,941.0,1367.0,290.0,1280.0,463.0,3286.0,4749.0,2919.0,20.0,56.0,2440.0,10.0,5.0
California,19992432.0,10217938.0,7176.0,3419.0,62018.0,77870.0,107118.0,23294.0,154001.0,18785.0,21237.0,195501.0,193721.0,44645.0,157604.0,46487.0,1083029.0,141009.0,376306.0,79813.0,75628.0,47488.0,35906.0,533437.0,775347.0,1551.0,12498.0,160243.0,40919.0,6.0
Colorado,4039626.0,576094.0,631.0,167.0,5311.0,3218.0,25211.0,1898.0,15424.0,5065.0,2683.0,653.0,4196.0,899.0,4834.0,1471.0,20937.0,6176.0,16348.0,2155.0,3162.0,1938.0,1875.0,19738.0,7223.0,3068.0,1358.0,10210.0,2022.0,8.0
Connecticut,2663586.0,377238.0,14087.0,367.0,34973.0,35901.0,10769.0,8843.0,10624.0,37100.0,4787.0,773.0,1815.0,5248.0,12043.0,6661.0,28762.0,3265.0,6385.0,2461.0,9.0,1248.0,3409.0,7706.0,9146.0,0.0,2687.0,10102.0,2567.0,9.0
Delaware,751689.0,59204.0,2696.0,65.0,2194.0,671.0,2748.0,1197.0,868.0,1147.0,212.0,58.0,460.0,2258.0,1934.0,1547.0,6291.0,591.0,1566.0,93.0,0.0,144.0,83.0,1056.0,2274.0,0.0,63.0,1645.0,93.0,10.0
District of Columbia,497255.0,47496.0,439.0,17.0,2007.0,1684.0,2772.0,805.0,2112.0,462.0,413.0,85.0,834.0,330.0,1009.0,304.0,5164.0,948.0,1271.0,62.0,42.0,322.0,37.0,762.0,1580.0,14.0,219.0,1711.0,652.0,11.0
Florida,13202757.0,3743708.0,373552.0,5181.0,48636.0,86998.0,67584.0,21083.0,37209.0,23997.0,19116.0,2254.0,9754.0,19310.0,20840.0,16686.0,61328.0,12020.0,19385.0,4483.0,1341.0,10937.0,4537.0,61028.0,61509.0,57.0,10532.0,48486.0,20661.0,12.0
Georgia,7997956.0,727616.0,17040.0,499.0,4803.0,11573.0,25206.0,2814.0,14879.0,3249.0,7437.0,343.0,8749.0,20524.0,23682.0,9334.0,45319.0,8397.0,45220.0,4462.0,3099.0,3717.0,5246.0,42254.0,12013.0,169.0,1054.0,15654.0,2909.0,13.0
Hawaii,973529.0,25114.0,311.0,40.0,621.0,1860.0,4431.0,204.0,1109.0,568.0,177.0,72.0,424.0,44.0,522.0,36.0,31146.0,45356.0,17190.0,243.0,33.0,1884.0,2233.0,9387.0,59621.0,42.0,136.0,584.0,320.0,15.0
Idaho,1325642.0,118178.0,73.0,12.0,623.0,1558.0,4428.0,143.0,1774.0,207.0,2274.0,10.0,505.0,142.0,530.0,198.0,3514.0,1446.0,1449.0,127.0,71.0,320.0,607.0,1020.0,1925.0,168.0,121.0,1312.0,32.0,16.0
Illinois,9347280.0,1586555.0,4500.0,1593.0,38248.0,6838.0,44282.0,32100.0,41308.0,185087.0,30877.0,2475.0,6649.0,42759.0,40978.0,43617.0,96996.0,12494.0,47835.0,3333.0,464.0,6871.0,4202.0,20452.0,84242.0,53.0,2695.0,59626.0,6420.0,17.0
Indiana,5614514.0,280273.0,1656.0,127.0,3751.0,1751.0,34368.0,3764.0,4209.0,4627.0,6041.0,138.0,1503.0,3911.0,7473.0,3599.0,24702.0,6052.0,7384.0,1229.0,257.0,1008.0,679.0,5506.0,6530.0,73.0,885.0,9623.0,1113.0,18.0
Iowa,2668657.0,113588.0,120.0,187.0,1079.0,779.0,12428.0,540.0,2052.0,427.0,8253.0,76.0,291.0,711.0,3136.0,758.0,10233.0,1416.0,3073.0,460.0,651.0,1523.0,4228.0,7410.0,2542.0,5.0,109.0,5873.0,405.0,19.0
Kansas,2381572.0,197689.0,276.0,67.0,948.0,1468.0,12639.0,332.0,2796.0,346.0,666.0,91.0,1783.0,729.0,2975.0,1260.0,10952.0,1987.0,3319.0,800.0,1398.0,808.0,4072.0,12594.0,3813.0,620.0,194.0,4858.0,333.0,20.0
Kentucky,3899799.0,103832.0,404.0,156.0,971.0,683.0,12705.0,677.0,1918.0,567.0,5105.0,153.0,1217.0,1742.0,2575.0,1269.0,8658.0,4688.0,3241.0,903.0,81.0,1010.0,572.0,4930.0,2767.0,16.0,305.0,7241.0,372.0,21.0
Louisiana,3920006.0,155056.0,7238.0,54.0,2072.0,2824.0,5320.0,788.0,1602.0,721.0,1024.0,130.0,1490.0,1251.0,1705.0,2053.0,9543.0,2175.0,2830.0,377.0,75.0,649.0,1896.0,27066.0,4706.0,55.0,353.0,7175.0,438.0,22.0
Maine,1177435.0,11668.0,92.0,46.0,1112.0,836.0,3375.0,682.0,1567.0,634.0,272.0,54.0,511.0,107.0,421.0,243.0,2559.0,714.0,558.0,1020.0,0.0,506.0,66.0,2214.0,1381.0,5.0,23.0,2017.0,189.0,23.0
Maryland,4587997.0,388382.0,12340.0,1033.0,9593.0,10624.0,18078.0,9820.0,21812.0,4428.0,1931.0,1745.0,13983.0,9838.0,17693.0,17286.0,64574.0,6570.0,37970.0,1774.0,78.0,3200.0,825.0,21924.0,35413.0,94.0,1895.0,14492.0,5937.0,24.0
Massachusetts,4892060.0,519521.0,68262.0,668.0,37544.0,181251.0,17518.0,23503.0,36844.0,18013.0,4446.0,7834.0,6441.0,9422.0,18540.0,5916.0,113975.0,8422.0,16775.0,23631.0,740.0,2664.0,3199.0,40245.0,7587.0,56.0,1571.0,33466.0,6713.0,25.0
Michigan,8464978.0,268162.0,1818.0,546.0,19073.0,4294.0,37316.0,8250.0,11754.0,21922.0,13131.0,2238.0,2876.0,9845.0,16022.0,11602.0,40979.0,11192.0,16186.0,1462.0,4871.0,1501.0,2218.0,14884.0,16799.0,72.0,2363.0,118004.0,2471.0,26.0
Minnesota,4485551.0,193111.0,1341.0,202.0,2419.0,2443.0,23258.0,1080.0,14106.0,2790.0,4351.0,37.0,1537.0,2400.0,7147.0,2539.0,22266.0,3450.0,5070.0,7388.0,57513.0,1864.0,9664.0,21915.0,5612.0,48.0,449.0,10703.0,1125.0,27.0
Mississippi,2675205.0,65883.0,200.0,49.0,865.0,680.0,3060.0,226.0,484.0,280.0,74.0,26.0,200.0,1454.0,1004.0,430.0,4002.0,689.0,1768.0,126.0,18.0,178.0,424.0,6777.0,2597.0,0.0,29.0,1994.0,32.0,28.0
Missouri,5306006.0,144376.0,916.0,174.0,4096.0,3099.0,22191.0,1323.0,8153.0,1358.0,13127.0,141.0,3133.0,2186.0,4360.0,4293.0,19260.0,2628.0,7505.0,1118.0,1142.0,1047.0,1074.0,12447.0,7344.0,46.0,1131.0,9903.0,1113.0,29.0
Montana,905535.0,13846.0,75.0,52.0,584.0,180.0,6363.0,112.0,608.0,222.0,45.0,4.0,81.0,0.0,113.0,57.0,1241.0,752.0,520.0,8.0,0.0,178.0,38.0,147.0,870.0,216.0,73.0,315.0,134.0,30.0
Nebraska,1540977.0,122164.0,77.0,120.0,1281.0,825.0,5000.0,302.0,1499.0,812.0,751.0,0.0,715.0,353.0,1343.0,262.0,4133.0,1082.0,1407.0,124.0,95.0,855.0,715.0,7955.0,1152.0,7.0,12.0,4197.0,107.0,31.0
Nevada,1814226.0,533809.0,567.0,381.0,4528.0,3095.0,8174.0,2096.0,5336.0,2633.0,3141.0,2742.0,4062.0,899.0,2277.0,1435.0,27945.0,5958.0,10652.0,1243.0,44.0,5640.0,1730.0,9240.0,71104.0,976.0,1550.0,6041.0,2768.0,32.0
New Hampshire,1155256.0,26192.0,853.0,15.0,1846.0,2925.0,4132.0,2744.0,1808.0,1208.0,1677.0,153.0,189.0,945.0,1606.0,688.0,5124.0,755.0,1369.0,902.0,6.0,265.0,567.0,2067.0,1370.0,0.0,286.0,2356.0,310.0,33.0
New Jersey,5809850.0,1303353.0,43051.0,6433.0,77585.0,80075.0,26172.0,21876.0,44863.0,66987.0,9512.0,5423.0,8405.0,74721.0,65946.0,28814.0,114071.0,11442.0,81118.0,833.0,7.0,2557.0,295.0,20182.0,78291.0,0.0,6363.0,61776.0,14558.0,34.0
New Mexico,1238084.0,558404.0,39.0,63.0,1800.0,806.0,7292.0,545.0,1451.0,481.0,272.0,91.0,1236.0,599.0,1021.0,321.0,4564.0,1974.0,1630.0,80.0,76.0,547.0,502.0,4174.0,3177.0,62878.0,213.0,2686.0,350.0,35.0
New York,12867700.0,2741443.0,157863.0,131883.0,184947.0,43867.0,64420.0,67069.0,226596.0,95163.0,32553.0,7112.0,26132.0,20366.0,57850.0,74090.0,537382.0,34802.0,106891.0,4675.0,90.0,9750.0,3333.0,21968.0,78121.0,123.0,12015.0,89225.0,66516.0,36.0
North Carolina,8122842.0,673220.0,2771.0,117.0,7017.0,5946.0,22652.0,5896.0,9802.0,3165.0,3244.0,195.0,3737.0,9546.0,14433.0,6160.0,31303.0,5767.0,15501.0,4969.0,9352.0,2245.0,5294.0,23270.0,14013.0,179.0,1740.0,17992.0,1396.0,37.0
North Dakota,622371.0,9407.0,50.0,0.0,239.0,314.0,8168.0,72.0,645.0,214.0,1042.0,0.0,54.0,94.0,331.0,114.0,1305.0,405.0,321.0,23.0,9.0,156.0,54.0,779.0,444.0,117.0,87.0,848.0,78.0,38.0
Ohio,10136912.0,240380.0,2017.0,623.0,17139.0,3340.0,51687.0,9683.0,16735.0,9111.0,12903.0,448.0,3795.0,8003.0,16673.0,4786.0,42390.0,9929.0,11690.0,4099.0,446.0,2322.0,2763.0,11403.0,10408.0,73.0,6820.0,37836.0,2892.0,39.0
Oklahoma,3212248.0,230639.0,344.0,60.0,879.0,1210.0,9790.0,662.0,2089.0,727.0,346.0,110.0,2315.0,799.0,1851.0,1835.0,8745.0,1931.0,4305.0,392.0,3308.0,1229.0,1733.0,15568.0,3646.0,232.0,126.0,4345.0,635.0,40.0
Oregon,3121336.0,324212.0,614.0,174.0,2656.0,2165.0,14176.0,848.0,22786.0,1141.0,1960.0,478.0,3737.0,689.0,4784.0,1030.0,27401.0,9610.0,10805.0,3276.0,1502.0,2354.0,2127.0,24365.0,9361.0,276.0,833.0,7316.0,1019.0,41.0
Pennsylvania,10773301.0,541221.0,17263.0,1706.0,43948.0,12685.0,48433.0,14214.0,36081.0,22007.0,8589.0,1979.0,4277.0,18112.0,21621.0,9586.0,78148.0,6528.0,29222.0,11908.0,1189.0,2157.0,2375.0,37423.0,16056.0,142.0,3630.0,30136.0,6424.0,42.0
Rhode Island,786891.0,111014.0,6840.0,46.0,7324.0,31081.0,1773.0,1670.0,2019.0,2308.0,251.0,1057.0,206.0,455.0,799.0,616.0,6586.0,643.0,1235.0,4407.0,612.0,386.0,2991.0,1381.0,1779.0,19.0,238.0,3157.0,329.0,44.0
