Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Massachusetts,4928575.0,548794.0,73777.0,4154.0,35274.0,180020.0,16915.0,16411.0,4587.0,7724.0,6762.0,10806.0,20675.0,7283.0,3319.0,5746.0,8185.0,8860.0,4854.0,124592.0,8915.0,16298.0,746.0,40023.0,5565.0,7646.0,34654.0,6828.0,9789.0,25
Michigan,8470560.0,273083.0,1528.0,9899.0,16960.0,4796.0,34579.0,19594.0,12510.0,11831.0,2336.0,9433.0,17270.0,12794.0,5679.0,17268.0,10762.0,7179.0,7403.0,46425.0,11853.0,15605.0,4742.0,15277.0,3954.0,15345.0,128073.0,2265.0,30547.0,26
Minnesota,4534228.0,194772.0,992.0,2901.0,2200.0,2561.0,20872.0,2526.0,4293.0,4921.0,85.0,2352.0,7759.0,2735.0,828.0,1605.0,5678.0,4103.0,2755.0,22503.0,3422.0,5532.0,60402.0,22963.0,11100.0,6331.0,12422.0,1201.0,61821.0,27
Mississippi,2687564.0,67256.0,105.0,487.0,644.0,680.0,3116.0,324.0,72.0,215.0,0.0,1167.0,1394.0,497.0,1077.0,389.0,306.0,72.0,295.0,3740.0,1022.0,1718.0,37.0,5951.0,414.0,2837.0,2114.0,122.0,461.0,28
Missouri,5347120.0,142678.0,830.0,10026.0,3692.0,2665.0,19927.0,1422.0,11709.0,2277.0,220.0,2758.0,5141.0,4089.0,649.0,1453.0,4348.0,2071.0,1572.0,20134.0,2506.0,6769.0,1063.0,13680.0,1958.0,7379.0,11049.0,1169.0,6243.0,29
Montana,924904.0,12920.0,65.0,753.0,499.0,243.0,6493.0,204.0,101.0,210.0,4.0,0.0,84.0,14.0,4.0,15.0,50.0,0.0,20.0,1222.0,521.0,649.0,0.0,235.0,217.0,835.0,497.0,235.0,28.0,30
Nebraska,1557625.0,128899.0,176.0,460.0,997.0,941.0,4546.0,575.0,813.0,1655.0,0.0,368.0,1511.0,331.0,305.0,391.0,1413.0,588.0,343.0,4980.0,1427.0,1490.0,164.0,7908.0,1575.0,1185.0,5170.0,116.0,2992.0,31
Nevada,1853693.0,561619.0,493.0,1504.0,4136.0,3574.0,8068.0,2132.0,3388.0,3492.0,3148.0,817.0,2897.0,1687.0,2155.0,1248.0,626.0,768.0,779.0,28503.0,6217.0,10969.0,36.0,9246.0,7849.0,75691.0,6021.0,2329.0,10063.0,32
New Hampshire,1163411.0,26424.0,731.0,664.0,1504.0,3229.0,3705.0,1210.0,1630.0,946.0,191.0,844.0,1439.0,644.0,160.0,429.0,1686.0,1383.0,784.0,5662.0,750.0,1296.0,14.0,1909.0,1068.0,1520.0,2732.0,569.0,493.0,33
New Jersey,5814062.0,1335729.0,46110.0,10147.0,69178.0,77118.0,22659.0,60025.0,9545.0,22519.0,5266.0,76782.0,72217.0,30263.0,16564.0,23431.0,29429.0,22170.0,17466.0,116434.0,10431.0,78100.0,32.0,18295.0,2923.0,79664.0,67536.0,14564.0,3849.0,34
New Mexico,1258377.0,545986.0,108.0,877.0,1614.0,1110.0,7159.0,484.0,290.0,283.0,99.0,363.0,958.0,434.0,205.0,433.0,664.0,160.0,141.0,4550.0,1455.0,1533.0,56.0,4024.0,1172.0,3314.0,3384.0,551.0,231.0,35
New York,12885786.0,2785081.0,158313.0,158211.0,171133.0,42542.0,58797.0,87778.0,31270.0,38909.0,7443.0,20098.0,60525.0,74319.0,36702.0,114031.0,9109.0,10088.0,27221.0,565187.0,35117.0,103229.0,173.0,23397.0,11233.0,75578.0,94364.0,66085.0,12107.0,36
North Carolina,8284363.0,690417.0,3982.0,3572.0,6993.0,6860.0,21704.0,3641.0,3619.0,3761.0,304.0,11427.0,16304.0,6077.0,1868.0,2644.0,9336.0,6852.0,4065.0,33874.0,6085.0,14761.0,9832.0,23959.0,6795.0,14564.0,20745.0,1460.0,7475.0,37
North Dakota,646489.0,11040.0,119.0,326.0,256.0,418.0,7109.0,300.0,1378.0,575.0,0.0,89.0,616.0,45.0,44.0,155.0,178.0,54.0,19.0,1374.0,287.0,253.0,7.0,524.0,119.0,1132.0,691.0,49.0,1267.0,38
Ohio,10158601.0,240366.0,1921.0,46234.0,14529.0,3548.0,47901.0,7837.0,10950.0,14282.0,413.0,9237.0,16943.0,4784.0,3879.0,3012.0,8165.0,6518.0,3545.0,44400.0,9163.0,11394.0,526.0,12167.0,5237.0,9893.0,40957.0,2438.0,19588.0,39
Oklahoma,3249160.0,245483.0,631.0,1201.0,1035.0,1279.0,8804.0,688.0,323.0,494.0,89.0,980.0,1690.0,1996.0,226.0,1209.0,1116.0,928.0,2586.0,9673.0,1889.0,4422.0,3047.0,17368.0,2265.0,3708.0,5315.0,575.0,719.0,40
Oregon,3184816.0,334636.0,612.0,2951.0,2193.0,3135.0,14439.0,1247.0,1556.0,7452.0,341.0,787.0,6200.0,1145.0,1123.0,919.0,2159.0,1607.0,1452.0,28975.0,10031.0,10115.0,1600.0,24132.0,4481.0,9626.0,8613.0,1256.0,6046.0,41
Pennsylvania,10762972.0,563727.0,18592.0,69439.0,39731.0,13395.0,45578.0,20094.0,7337.0,18091.0,1780.0,18878.0,23381.0,10736.0,4806.0,9528.0,11362.0,6715.0,12836.0,83429.0,6435.0,29158.0,835.0,37344.0,4050.0,15617.0,35016.0,6653.0,5208.0,42
Rhode Island,783244.0,116296.0,7523.0,199.0,6721.0,31606.0,1604.0,2034.0,212.0,432.0,800.0,668.0,1662.0,830.0,50.0,473.0,402.0,427.0,318.0,6789.0,922.0,1149.0,466.0,1884.0,2577.0,1647.0,3376.0,362.0,210.0,44
South Carolina,4230746.0,200761.0,1039.0,1328.0,2553.0,3989.0,11395.0,1485.0,951.0,3514.0,53.0,4552.0,2994.0,1312.0,577.0,519.0,1072.0,1078.0,682.0,10088.0,2512.0,4679.0,1576.0,5892.0,2098.0,7148.0,5061.0,731.0,976.0,45
South Dakota,739897.0,16125.0,22.0,304.0,260.0,158.0,5460.0,54.0,911.0,782.0,23.0,53.0,247.0,140.0,56.0,58.0,152.0,49.0,64.0,1772.0,230.0,468.0,48.0,669.0,479.0,1009.0,732.0,27.0,1904.0,46
Tennessee,5725721.0,241296.0,2143.0,4000.0,2389.0,2176.0,12778.0,1335.0,1425.0,1571.0,337.0,5122.0,5527.0,2696.0,288.0,1641.0,3831.0,1354.0,2245.0,12965.0,4218.0,8736.0,410.0,9667.0,7305.0,6884.0,21176.0,770.0,5428.0,47
Texas,16192095.0,7373797.0,7410.0,9426.0,12588.0,24403.0,63553.0,8880.0,7374.0,10230.0,1829.0,29733.0,69674.0,71893.0,8665.0,18722.0,39041.0,24300.0,35715.0,159186.0,17481.0,56688.0,963.0,205861.0,21363.0,80227.0,68142.0,6717.0,27364.0,48
Utah,2299317.0,267820.0,367.0,2019.0,2190.0,7997.0,8214.0,822.0,2931.0,969.0,665.0,229.0,1425.0,719.0,704.0,572.0,1002.0,1238.0,438.0,13373.0,4795.0,4721.0,84.0,6895.0,3194.0,4522.0,4258.0,220.0,2249.0,49
Vermont,562750.0,6175.0,102.0,574.0,826.0,262.0,2382.0,701.0,1290.0,216.0,94.0,91.0,215.0,159.0,83.0,115.0,39.0,36.0,21.0,1531.0,368.0,500.0,0.0,912.0,370.0,550.0,835.0,106.0,758.0,50
Virginia,6588658.0,530447.0,6250.0,4351.0,8728.0,9182.0,27620.0,3540.0,5170.0,5624.0,1019.0,9930.0,25649.0,30803.0,8867.0,12386.0,19630.0,9988.0,5370.0,57342.0,9596.0,54623.0,336.0,50602.0,9877.0,46101.0,50409.0,1589.0,32890.0,51
Washington,5366663.0,556129.0,1085.0,4457.0,5456.0,5466.0,29182.0,4412.0,5075.0,28353.0,1332.0,3420.0,23140.0,4762.0,14850.0,2382.0,8687.0,8944.0,3960.0,93020.0,25703.0,47892.0,1796.0,60017.0,12357.0,57353.0,15947.0,2832.0,31893.0,53
West Virginia,1701529.0,18164.0,280.0,294.0,1285.0,215.0,2777.0,491.0,73.0,265.0,11.0,316.0,522.0,484.0,28.0,210.0,400.0,253.0,248.0,2899.0,813.0,637.0,22.0,1049.0,391.0,1507.0,1957.0,103.0,313.0,54
Wisconsin,4943643.0,248533.0,340.0,10980.0,3849.0,1771.0,32715.0,6182.0,5036.0,2706.0,444.0,1351.0,5907.0,3084.0,2150.0,1066.0,3313.0,2501.0,1480.0,16253.0,2389.0,4785.0,46243.0,4163.0,3686.0,5055.0,7822.0,855.0,2083.0,55
Wyoming,505407.0,27245.0,62.0,130.0,395.0,248.0,2005.0,43.0,52.0,210.0,0.0,28.0,30.0,54.0,92.0,98.0,23.0,108.0,4.0,776.0,285.0,412.0,37.0,271.0,156.0,684.0,368.0,18.0,82.0,56
Puerto Rico,184679.0,3155521.0,14.0,48.0,661.0,560.0,438.0,15.0,11.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,1206.0,101.0,26.0,0.0,151.0,0.0,77.0,483.0,64.0,0.0,72
