Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Texas,16688818.0,7631379.0,7833.0,10836.0,11527.0,26431.0,62283.0,8543.0,8362.0,9555.0,1871.0,33454.0,79200.0,79371.0,9554.0,20841.0,49983.0,31265.0,42747.0,170446.0,18733.0,58077.0,1098.0,219569.0,22182.0,83962.0,86165.0,5457.0,31951.0,48.0
Utah,2367992.0,288392.0,255.0,1973.0,2242.0,10521.0,8252.0,840.0,2469.0,1168.0,751.0,456.0,2059.0,1249.0,725.0,249.0,1805.0,1228.0,373.0,14970.0,5190.0,4669.0,157.0,7665.0,4021.0,4878.0,4577.0,130.0,2746.0,49.0
Vermont,561094.0,6451.0,132.0,535.0,803.0,216.0,2200.0,592.0,1420.0,345.0,126.0,133.0,182.0,167.0,105.0,155.0,75.0,0.0,55.0,2230.0,505.0,425.0,0.0,562.0,202.0,507.0,652.0,209.0,684.0,50.0
Virginia,6632464.0,562347.0,5442.0,4277.0,8461.0,9888.0,26166.0,3890.0,4975.0,5226.0,985.0,9603.0,28736.0,31775.0,9064.0,14872.0,21634.0,10960.0,6006.0,59466.0,10608.0,56238.0,254.0,49526.0,10447.0,46446.0,53946.0,1775.0,37621.0,51.0
West Virginia,1686899.0,17189.0,265.0,415.0,1424.0,245.0,2616.0,331.0,63.0,236.0,12.0,388.0,617.0,530.0,10.0,479.0,736.0,218.0,223.0,3045.0,929.0,423.0,24.0,942.0,172.0,1486.0,2373.0,41.0,358.0,54.0
Washington,5514852.0,579129.0,1333.0,4708.0,4444.0,6716.0,27103.0,4821.0,5392.0,28680.0,1251.0,3737.0,28709.0,6329.0,18007.0,3176.0,10181.0,9045.0,5848.0,106836.0,26480.0,46786.0,1537.0,62159.0,13009.0,60667.0,16449.0,3647.0,35008.0,53.0
Wisconsin,4967985.0,249830.0,493.0,10883.0,3474.0,2300.0,30329.0,6216.0,4698.0,2662.0,352.0,1790.0,6730.0,3429.0,2870.0,1209.0,3293.0,2409.0,1668.0,17390.0,2263.0,4359.0,45068.0,3980.0,3605.0,5264.0,8233.0,868.0,2611.0,55.0
Wyoming,504841.0,27564.0,37.0,178.0,375.0,117.0,1977.0,0.0,21.0,193.0,0.0,8.0,48.0,49.0,31.0,79.0,36.0,89.0,27.0,875.0,450.0,366.0,4.0,69.0,147.0,780.0,416.0,17.0,61.0,56.0
Puerto Rico,172926.0,3051305.0,107.0,53.0,694.0,440.0,278.0,15.0,20.0,7.0,0.0,51.0,49.0,0.0,0.0,36.0,34.0,0.0,0.0,1105.0,87.0,13.0,0.0,110.0,0.0,9.0,380.0,30.0,0.0,72.0
Alabama,4335573.0,148420.0,1163.0,905.0,1105.0,1395.0,7781.0,544.0,157.0,806.0,129.0,2354.0,2782.0,1864.0,181.0,1070.0,2174.0,475.0,380.0,10049.0,1873.0,9208.0,29.0,7585.0,2270.0,3503.0,5806.0,329.0,492.0,1.0
Alaska,573373.0,24378.0,238.0,337.0,306.0,204.0,3229.0,405.0,274.0,958.0,16.0,45.0,147.0,193.0,80.0,241.0,10.0,32.0,29.0,1433.0,1195.0,3833.0,3950.0,1072.0,2749.0,18126.0,457.0,107.0,467.0,2.0
Arizona,4740041.0,1338389.0,779.0,2973.0,6620.0,3593.0,20110.0,5970.0,7166.0,3509.0,1364.0,3874.0,12927.0,2776.0,2829.0,2768.0,7371.0,5467.0,3627.0,34917.0,7144.0,9983.0,149.0,23792.0,4207.0,26633.0,25342.0,2511.0,9507.0,4.0
Arkansas,2593351.0,149618.0,174.0,844.0,747.0,683.0,4186.0,637.0,241.0,408.0,63.0,1336.0,1888.0,985.0,317.0,856.0,1765.0,927.0,627.0,5608.0,1119.0,1675.0,1600.0,5043.0,4059.0,2566.0,2516.0,102.0,106.0,5.0
California,20487071.0,10529621.0,7583.0,26716.0,57596.0,82114.0,99129.0,19932.0,20222.0,36828.0,190976.0,47651.0,192859.0,55208.0,139919.0,28176.0,62613.0,56036.0,34135.0,1217206.0,141461.0,368099.0,74328.0,548129.0,81184.0,798884.0,183194.0,42624.0,62883.0,6.0
