Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Massachusetts,4831189.0,473389.0,57224.0,1026.0,42279.0,179071.0,17727.0,24440.0,36595.0,20617.0,3830.0,7804.0,6308.0,8616.0,16508.0,5854.0,100536.0,8300.0,16875.0,22909.0,215.0,3130.0,2525.0,37631.0,9169.0,42.0,1959.0,25665.0,7678.0,25
Michigan,8482171.0,272162.0,949.0,988.0,20399.0,3285.0,42415.0,8497.0,11955.0,26146.0,13485.0,2809.0,2456.0,8777.0,14790.0,11125.0,39141.0,12759.0,15939.0,1730.0,4516.0,1721.0,2532.0,15354.0,15586.0,99.0,2881.0,101171.0,2539.0,26
Minnesota,4409729.0,186833.0,692.0,385.0,2344.0,2380.0,25106.0,1263.0,14089.0,3533.0,3796.0,155.0,1402.0,1440.0,6978.0,2128.0,19178.0,3891.0,5563.0,6936.0,53879.0,1599.0,9111.0,20286.0,5395.0,16.0,569.0,8570.0,1208.0,27
Mississippi,2639754.0,65419.0,309.0,50.0,1250.0,380.0,2898.0,177.0,565.0,196.0,73.0,30.0,216.0,1126.0,1179.0,500.0,4070.0,548.0,1273.0,102.0,1.0,246.0,171.0,6332.0,2309.0,0.0,89.0,2055.0,54.0,28
Missouri,5231415.0,150245.0,732.0,214.0,4560.0,2232.0,23299.0,1838.0,8211.0,1718.0,12878.0,179.0,3225.0,2042.0,4017.0,2741.0,16882.0,3091.0,7236.0,1043.0,944.0,1720.0,801.0,11746.0,6284.0,138.0,916.0,8663.0,1008.0,29
Montana,879470.0,13040.0,27.0,4.0,596.0,149.0,8276.0,122.0,675.0,277.0,92.0,11.0,54.0,22.0,56.0,63.0,864.0,718.0,418.0,8.0,336.0,146.0,2.0,272.0,822.0,205.0,60.0,385.0,92.0,30
Nebraska,1515814.0,110871.0,146.0,80.0,1117.0,622.0,6225.0,256.0,1408.0,1158.0,675.0,16.0,579.0,426.0,1336.0,360.0,3753.0,1182.0,992.0,91.0,46.0,577.0,417.0,6952.0,1742.0,13.0,50.0,3505.0,130.0,31
Nevada,1776667.0,494092.0,416.0,347.0,5625.0,2388.0,8367.0,1958.0,4277.0,2547.0,3651.0,2655.0,4071.0,794.0,2535.0,1079.0,25072.0,5649.0,9195.0,1218.0,66.0,4892.0,1655.0,7609.0,65386.0,899.0,1700.0,5108.0,1977.0,32
New Hampshire,1146311.0,26519.0,604.0,7.0,2104.0,3834.0,3393.0,2447.0,1434.0,1340.0,1333.0,219.0,212.0,1240.0,1939.0,397.0,4497.0,586.0,1305.0,717.0,0.0,432.0,440.0,1832.0,1063.0,15.0,203.0,1859.0,344.0,33
New Jersey,5811515.0,1218565.0,44712.0,6318.0,82520.0,85999.0,29601.0,21434.0,45160.0,66763.0,9420.0,5483.0,7606.0,69728.0,59853.0,25904.0,108739.0,11595.0,76747.0,708.0,15.0,2882.0,466.0,19331.0,79495.0,0.0,7049.0,50729.0,15415.0,34
New Mexico,1208435.0,543123.0,23.0,161.0,1455.0,725.0,7234.0,506.0,1116.0,701.0,343.0,83.0,957.0,676.0,858.0,142.0,4501.0,1952.0,1499.0,38.0,81.0,479.0,756.0,3507.0,2259.0,63696.0,340.0,1806.0,568.0,35
