Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Utah,2062578.0,214238.0,7356.0,17.0,250.0,3244.0,7706.0,10480.0,1289.0,4140.0,777.0,3615.0,602.0,1436.0,163.0,1254.0,673.0,10073.0,4611.0,3976.0,1850.0,233.0,1151.0,1829.0,5872.0,3819.0,9901.0,338.0,1482.0,142.0,49,2009
Utah,2061526.0,225418.0,7266.0,6.0,310.0,3132.0,7310.0,9578.0,1115.0,4117.0,633.0,3486.0,554.0,1093.0,279.0,892.0,780.0,10844.0,4443.0,4307.0,1852.0,331.0,1113.0,1806.0,5323.0,3837.0,9335.0,295.0,1361.0,162.0,49,2010
Utah,2105421.0,233066.0,6685.0,5.0,277.0,3520.0,7538.0,9762.0,1115.0,4043.0,730.0,3702.0,708.0,1352.0,395.0,1205.0,620.0,10606.0,4585.0,4948.0,1883.0,229.0,1354.0,1759.0,5951.0,4196.0,9036.0,286.0,1751.0,252.0,49,2011
Utah,2145010.0,242156.0,6894.0,4.0,405.0,3393.0,7218.0,9121.0,1053.0,3810.0,621.0,4173.0,703.0,1429.0,373.0,1280.0,475.0,10721.0,4652.0,4933.0,1677.0,350.0,1157.0,1542.0,5778.0,4275.0,8938.0,199.0,1965.0,241.0,49,2012
Utah,2187829.0,245947.0,6661.0,3.0,407.0,3064.0,7151.0,9023.0,1012.0,4118.0,937.0,3842.0,609.0,1310.0,333.0,1127.0,547.0,11451.0,4375.0,4614.0,1841.0,315.0,1137.0,1400.0,6355.0,4309.0,8193.0,314.0,2493.0,241.0,49,2013
Utah,2222250.0,255339.0,6927.0,0.0,387.0,2779.0,7173.0,8512.0,1032.0,4019.0,984.0,3627.0,654.0,1744.0,353.0,1303.0,678.0,11994.0,4598.0,4310.0,1953.0,262.0,1312.0,1857.0,7125.0,4006.0,8156.0,359.0,2937.0,319.0,49,2014
Utah,2259717.0,262508.0,7408.0,0.0,300.0,2703.0,7387.0,8220.0,1087.0,3897.0,879.0,3484.0,744.0,2000.0,278.0,1288.0,733.0,11824.0,4920.0,4296.0,1716.0,138.0,1483.0,2256.0,7457.0,4633.0,7343.0,343.0,3729.0,287.0,49,2015
Wyoming,456701.0,20826.0,1481.0,2.0,0.0,300.0,128.0,1915.0,441.0,411.0,96.0,64.0,24.0,97.0,72.0,54.0,105.0,536.0,324.0,172.0,0.0,0.0,28.0,0.0,62.0,398.0,42.0,27.0,119.0,29.0,56,2009
Wyoming,474343.0,23489.0,1441.0,2.0,0.0,313.0,258.0,1782.0,397.0,374.0,121.0,54.0,13.0,112.0,94.0,51.0,81.0,612.0,370.0,144.0,0.0,0.0,24.0,0.0,77.0,470.0,80.0,8.0,66.0,39.0,56,2010
Wyoming,482323.0,23514.0,968.0,2.0,0.0,274.0,358.0,1796.0,306.0,402.0,108.0,49.0,0.0,117.0,134.0,54.0,95.0,578.0,292.0,225.0,0.0,0.0,56.0,0.0,92.0,506.0,69.0,25.0,70.0,37.0,56,2011
Wyoming,487764.0,25757.0,940.0,2.0,0.0,303.0,421.0,1757.0,278.0,269.0,77.0,50.0,0.0,76.0,82.0,46.0,75.0,571.0,292.0,303.0,0.0,0.0,105.0,0.0,70.0,656.0,163.0,18.0,118.0,33.0,56,2012
Wyoming,494556.0,25529.0,1014.0,0.0,3.0,256.0,507.0,1633.0,267.0,344.0,106.0,41.0,0.0,126.0,42.0,29.0,84.0,735.0,231.0,343.0,0.0,30.0,161.0,2.0,160.0,624.0,162.0,76.0,116.0,29.0,56,2013
Wyoming,499332.0,26150.0,1102.0,0.0,2.0,331.0,359.0,1539.0,146.0,401.0,102.0,26.0,0.0,173.0,40.0,0.0,96.0,926.0,212.0,339.0,0.0,19.0,159.0,1.0,206.0,716.0,149.0,73.0,200.0,9.0,56,2014
Wyoming,502352.0,27635.0,1007.0,0.0,3.0,302.0,295.0,1504.0,97.0,395.0,67.0,39.0,0.0,183.0,2.0,4.0,83.0,891.0,231.0,411.0,20.0,25.0,224.0,3.0,350.0,605.0,142.0,92.0,242.0,18.0,56,2015
