Name,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Massachusetts,4940967.0,564401.0,77930.0,3986.0,32968.0,184962.0,15938.0,16762.0,4605.0,8073.0,7077.0,10324.0,21610.0,7528.0,3229.0,6530.0,8658.0,9374.0,5312.0,129412.0,9344.0,16205.0,522.0,40633.0,5691.0,8099.0,33313.0,6996.0,10669.0,25
Maryland,4613252.0,436910.0,14874.0,3988.0,8650.0,11325.0,16126.0,4326.0,2077.0,4568.0,1709.0,10810.0,19405.0,20664.0,6642.0,7867.0,8251.0,7150.0,5200.0,68633.0,6198.0,39347.0,99.0,21276.0,4887.0,33226.0,18125.0,6667.0,26598.0,24
Michigan,8476289.0,273148.0,1634.0,10030.0,15882.0,4713.0,33685.0,19209.0,12490.0,11735.0,2425.0,8912.0,18381.0,13057.0,6164.0,18532.0,12669.0,8179.0,8060.0,49002.0,12252.0,15732.0,4845.0,13747.0,4332.0,15737.0,135336.0,2003.0,32050.0,26
Minnesota,4557386.0,196279.0,1336.0,2915.0,1962.0,3145.0,19525.0,2561.0,4419.0,4676.0,110.0,1922.0,7313.0,2981.0,835.0,1721.0,6532.0,4265.0,2999.0,23366.0,3781.0,5815.0,61911.0,22918.0,10180.0,7001.0,12724.0,1129.0,69509.0,27
Mississippi,2686128.0,67282.0,120.0,676.0,590.0,718.0,2986.0,326.0,43.0,121.0,0.0,732.0,1544.0,467.0,1026.0,360.0,449.0,160.0,284.0,3489.0,903.0,1756.0,32.0,6102.0,489.0,2968.0,2828.0,171.0,449.0,28
Missouri,5358633.0,146225.0,762.0,10043.0,3309.0,2973.0,19680.0,1580.0,12008.0,2069.0,216.0,2796.0,5675.0,4856.0,778.0,1404.0,4290.0,2025.0,1901.0,20573.0,2604.0,6618.0,1224.0,13727.0,1847.0,7482.0,11479.0,1076.0,5868.0,29
Montana,930797.0,13551.0,54.0,687.0,501.0,299.0,6420.0,222.0,110.0,218.0,4.0,0.0,21.0,17.0,4.0,24.0,50.0,0.0,18.0,1194.0,477.0,592.0,18.0,224.0,273.0,1008.0,457.0,370.0,46.0,30
Nebraska,1566040.0,131614.0,186.0,497.0,787.0,947.0,4484.0,596.0,959.0,1301.0,33.0,179.0,1609.0,324.0,337.0,477.0,1387.0,803.0,609.0,5096.0,1323.0,1575.0,215.0,7550.0,1593.0,1353.0,5299.0,55.0,3304.0,31
New Hampshire,1168119.0,27171.0,668.0,747.0,1471.0,3415.0,3625.0,1253.0,1549.0,974.0,141.0,1135.0,1530.0,681.0,180.0,473.0,2068.0,1340.0,721.0,5601.0,594.0,1424.0,13.0,2121.0,1117.0,1615.0,3396.0,495.0,159.0,33
Nevada,1881829.0,575226.0,535.0,1390.0,4098.0,3840.0,8375.0,1889.0,3594.0,4007.0,3264.0,865.0,3599.0,1567.0,1984.0,1220.0,964.0,817.0,900.0,28617.0,6301.0,11739.0,80.0,9055.0,7632.0,79449.0,5698.0,2417.0,10534.0,32
