Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Alabama,4261611.0,151384,333.0,18.0,1672.0,1374,10038.0,918.0,1325.0,384,465.0,50.0,1010,2630.0,3236.0,1306,9461.0,1814.0,7475,887.0,208.0,828,935.0,6839.0,3115.0,96,145.0,4560.0,410.0,01
Alaska,557877.0,22425,120.0,0.0,444.0,279,3662.0,140.0,4426.0,426,32.0,3.0,100,123.0,290.0,272,1634.0,1752.0,3937,205.0,3107.0,1105,1469.0,1286.0,14177.0,133,90.0,388.0,241.0,02
Arizona,4416957.0,1230732,756.0,445.0,7901.0,4401,23063.0,3043.0,6602.0,5844,8370.0,1385.0,6111,3824.0,8474.0,2380,28552.0,6237.0,10733,2055.0,234.0,2492,1397.0,20608.0,20664.0,83792,1499.0,16865.0,2705.0,04
Arkansas,2540974.0,143540,93.0,0.0,963.0,1050,5488.0,144.0,515.0,315,211.0,100.0,519,917.0,1413.0,628,4125.0,942.0,1591,273.0,1584.0,438,3429.0,4589.0,2901.0,20,94.0,2704.0,25.0,05
California,19782598.0,10105424,6718.0,3272.0,62621.0,79572,110575.0,22932.0,151685.0,19699,22753.0,191928.0,191138,44917.0,149301.0,45609,1058231.0,140575.0,372742,79882.0,76789.0,46434,36849.0,521534.0,764743.0,1401,13236.0,153635.0,41311.0,06
Colorado,3976875.0,565058,382.0,135.0,5767.0,3370,25675.0,1910.0,15124.0,5365,2531.0,583.0,4090,762.0,4171.0,1613,19020.0,6071.0,15629,2210.0,3008.0,1950,2175.0,20099.0,7293.0,2937,1322.0,9692.0,1650.0,08
Connecticut,2658925.0,371024,14081.0,353.0,36571.0,37016,11533.0,8670.0,10684.0,37704,4160.0,731.0,1488,5647.0,11430.0,6282,27002.0,3391.0,6456,2456.0,9.0,1401,2981.0,7735.0,8539.0,0,2764.0,9271.0,2762.0,09
Delaware,745175.0,57255,2562.0,75.0,2282.0,696,3191.0,1288.0,999.0,1014,216.0,62.0,262,2091.0,1895.0,1746,6110.0,562.0,1598,49.0,0.0,183,42.0,1095.0,2293.0,0,141.0,1628.0,122.0,10
District of Columbia,490944.0,44457,440.0,7.0,1759.0,1449,2623.0,662.0,1895.0,483,486.0,93.0,663,311.0,1245.0,261,4306.0,820.0,1290,53.0,54.0,386,53.0,1166.0,1436.0,0,275.0,1599.0,597.0,11
Florida,13070061.0,3640750,361103.0,5785.0,49161.0,87311,69475.0,20862.0,35974.0,23937,17890.0,2268.0,9435,19530.0,19848.0,17383,59400.0,12041.0,18720,4679.0,1643.0,9870,4224.0,56119.0,60165.0,79,10658.0,42761.0,20002.0,12
Georgia,7921115.0,709563,17446.0,551.0,4846.0,12148,25968.0,2765.0,14848.0,3767,7444.0,449.0,9228,19656.0,21744.0,9407,42582.0,8474.0,44978,4475.0,3061.0,3186,5143.0,41108.0,12205.0,233,956.0,15343.0,2794.0,13
Hawaii,960182.0,25491,348.0,39.0,655.0,1915,4615.0,192.0,1169.0,513,187.0,82.0,476,57.0,410.0,45,31537.0,45633.0,17276,274.0,23.0,1920,2279.0,9418.0,58345.0,13,139.0,446.0,290.0,15
Idaho,1312576.0,114558,64.0,20.0,660.0,1563,4483.0,245.0,1878.0,225,2533.0,34.0,484,99.0,296.0,30,3281.0,1595.0,1128,98.0,42.0,412,787.0,1049.0,1886.0,153,108.0,1270.0,16.0,16
Illinois,9342837.0,1570809,4727.0,1372.0,40223.0,6699,45782.0,33302.0,41404.0,185121,31264.0,2794.0,6628,41596.0,37982.0,42613,94966.0,12611.0,49323,3650.0,415.0,7266,3931.0,20907.0,80655.0,53,2928.0,56524.0,6666.0,17
Indiana,5588460.0,277381,1438.0,185.0,3574.0,1878,35409.0,4391.0,4835.0,4965,7265.0,122.0,1480,4007.0,7225.0,3573,23119.0,5857.0,7588,1060.0,237.0,975,670.0,4951.0,5667.0,133,995.0,9017.0,1231.0,18
Iowa,2657355.0,113173,31.0,253.0,1083.0,668,12482.0,562.0,1936.0,522,8635.0,122.0,327,532.0,2628.0,806,9858.0,1142.0,3037,528.0,299.0,1679,4039.0,7499.0,2348.0,39,82.0,4593.0,268.0,19
Kansas,2371428.0,195103,337.0,70.0,1058.0,1342,13095.0,351.0,2860.0,469,675.0,113.0,1485,575.0,2919.0,1203,10714.0,1918.0,3556,655.0,1474.0,663,3672.0,12557.0,3786.0,641,172.0,4607.0,439.0,20
Kentucky,3879829.0,104471,465.0,109.0,943.0,771,13016.0,802.0,2108.0,535,5067.0,145.0,1021,1266.0,2429.0,1245,8260.0,4813.0,3091,1122.0,86.0,843,423.0,4964.0,2885.0,13,299.0,6715.0,347.0,21
Louisiana,3887593.0,150424,6706.0,52.0,2450.0,3117,5412.0,540.0,1779.0,844,990.0,63.0,1454,1079.0,1860.0,2223,9471.0,2079.0,3112,334.0,67.0,506,2002.0,26185.0,4580.0,45,303.0,6739.0,364.0,22
Maine,1175657.0,11599,123.0,42.0,1019.0,673,3417.0,710.0,1567.0,673,251.0,99.0,572,123.0,496.0,225,2521.0,839.0,873,984.0,0.0,489,96.0,1807.0,1423.0,17,25.0,1255.0,146.0,23
Maryland,4553640.0,378010,11932.0,1003.0,10135.0,10971,18284.0,9848.0,21388.0,4356,2121.0,1634.0,13898,9631.0,16192.0,16765,61951.0,6249.0,38029,1974.0,7.0,3710,914.0,21268.0,32818.0,97,2057.0,14847.0,6092.0,24
Massachusetts,4871680.0,502625,64549.0,785.0,38919.0,181917,17515.0,23991.0,36549.0,19235,4806.0,8104.0,6453,8926.0,18845.0,6303,106715.0,8408.0,16962,21869.0,563.0,2753,3113.0,40302.0,8214.0,52,1518.0,29436.0,7348.0,25
Michigan,8457581.0,270708,1600.0,579.0,19934.0,4031,39503.0,7887.0,11819.0,23042,13009.0,2284.0,2644,9355.0,16340.0,11294,39273.0,12022.0,15356,1511.0,4887.0,1447,2137.0,15130.0,16903.0,102,2510.0,111944.0,2629.0,26
Minnesota,4460951.0,192113,1088.0,145.0,2503.0,2414,24277.0,1142.0,14039.0,2923,3948.0,32.0,1653,1894.0,6998.0,2660,21193.0,3743.0,6000,5732.0,55037.0,2226,9900.0,21640.0,5633.0,84,467.0,9732.0,1119.0,27
Mississippi,2663097.0,65295,194.0,45.0,890.0,472,3143.0,229.0,467.0,175,97.0,26.0,174,1566.0,978.0,414,4165.0,778.0,1524,111.0,8.0,197,215.0,6564.0,2661.0,0,32.0,2140.0,39.0,28
Missouri,5279336.0,148039,734.0,221.0,4391.0,2653,22909.0,1474.0,8678.0,1500,13498.0,187.0,3068,1813.0,3999.0,3456,18808.0,2818.0,6918,1095.0,949.0,1512,1058.0,12185.0,7256.0,65,874.0,9909.0,1203.0,29
