Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Maryland,4474685.0,308649.0,10175.0,1223.0,12454.0,10286.0,21159.0,10011.0,19982.0,4956.0,1852.0,1271.0,12155.0,8807.0,14249.0,11101.0,52402.0,6371.0,37440.0,1858.0,87.0,4405.0,970.0,18446.0,22893.0,24.0,1839.0,12347.0,7479.0,24,2009
Maine,1153324.0,13177.0,133.0,17.0,998.0,800.0,4056.0,838.0,1867.0,807.0,372.0,138.0,392.0,147.0,383.0,147.0,2322.0,722.0,832.0,1190.0,0.0,155.0,81.0,1244.0,918.0,36.0,46.0,892.0,182.0,23,2009
Michigan,8559468.0,285293.0,901.0,1427.0,21113.0,3192.0,44425.0,9010.0,11631.0,30113.0,13745.0,2853.0,3185.0,8527.0,13474.0,9664.0,35168.0,13921.0,15239.0,1422.0,5541.0,1721.0,2717.0,14709.0,13789.0,88.0,3136.0,100060.0,2615.0,26,2009
Minnesota,4367990.0,168370.0,452.0,302.0,2300.0,2121.0,26271.0,1128.0,13635.0,3632.0,3805.0,147.0,1639.0,1295.0,6180.0,2483.0,15915.0,3354.0,5641.0,6111.0,46398.0,1521.0,9353.0,18233.0,5549.0,24.0,630.0,7921.0,1612.0,27,2009
Missouri,5194805.0,143179.0,636.0,263.0,4848.0,1974.0,23139.0,1801.0,7210.0,2378.0,13726.0,209.0,2204.0,1342.0,3611.0,2629.0,13630.0,2708.0,7374.0,835.0,707.0,1775.0,404.0,13121.0,6000.0,170.0,838.0,6934.0,871.0,29,2009
Mississippi,2608866.0,56121.0,198.0,0.0,965.0,275.0,3253.0,346.0,627.0,209.0,166.0,0.0,271.0,893.0,1148.0,709.0,3774.0,1438.0,1386.0,105.0,0.0,270.0,128.0,4928.0,2387.0,0.0,91.0,2150.0,58.0,28,2009
Montana,855145.0,13063.0,0.0,0.0,618.0,239.0,8310.0,262.0,504.0,306.0,167.0,12.0,0.0,22.0,77.0,29.0,869.0,606.0,525.0,0.0,193.0,132.0,0.0,390.0,684.0,210.0,94.0,500.0,144.0,30,2009
North Carolina,7602910.0,533028.0,2336.0,142.0,6948.0,5454.0,22648.0,6025.0,9002.0,3213.0,3340.0,313.0,3251.0,8175.0,9519.0,5583.0,22244.0,6268.0,12778.0,4264.0,8476.0,2416.0,4554.0,16659.0,10408.0,215.0,962.0,15026.0,1762.0,37,2009
North Dakota,566444.0,8886.0,83.0,7.0,112.0,86.0,9841.0,24.0,454.0,314.0,954.0,0.0,92.0,0.0,170.0,143.0,1104.0,222.0,194.0,91.0,0.0,43.0,21.0,425.0,469.0,8.0,23.0,428.0,39.0,38,2009
Nebraska,1491234.0,100047.0,117.0,12.0,943.0,538.0,6233.0,290.0,987.0,1011.0,907.0,40.0,438.0,267.0,920.0,340.0,3597.0,1131.0,980.0,353.0,0.0,456.0,833.0,6224.0,1664.0,27.0,87.0,2969.0,135.0,31,2009
New Hampshire,1138930.0,26750.0,367.0,15.0,2123.0,4511.0,3817.0,2599.0,1531.0,1425.0,1668.0,218.0,224.0,1028.0,1848.0,137.0,4557.0,585.0,1056.0,641.0,0.0,475.0,343.0,1312.0,969.0,15.0,241.0,1684.0,514.0,33,2009
