State,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Florida,13346251.0,3849991.0,386481.0,4215.0,49434.0,86583.0,64955.0,20150.0,39447.0,24119.0,17329.0,1975.0,10535.0,19180.0,22989.0,17424.0,65163.0,12190.0,20498.0,4694.0,1482.0,11475.0,4215.0,59694.0,64335.0,54.0,10249.0,53724.0,21073.0,12,2015
Georgia,7713250.0,618059.0,12978.0,318.0,5528.0,15303.0,27015.0,2706.0,13841.0,3444.0,8017.0,593.0,7871.0,14976.0,18496.0,8970.0,33838.0,8110.0,39172.0,3876.0,2514.0,2792.0,4796.0,36034.0,10300.0,144.0,838.0,11555.0,2899.0,13,2009
Georgia,7666663.0,652397.0,15087.0,371.0,5724.0,13697.0,25291.0,2484.0,12438.0,3518.0,8121.0,519.0,8195.0,15909.0,19932.0,9964.0,36743.0,8350.0,44834.0,3712.0,2911.0,2711.0,5029.0,39498.0,11019.0,195.0,886.0,11578.0,3122.0,13,2010
Georgia,7759510.0,675924.0,15129.0,470.0,5290.0,13101.0,26537.0,2427.0,13386.0,3258.0,7855.0,503.0,8814.0,18589.0,20206.0,9093.0,40005.0,8057.0,46610.0,3762.0,3405.0,3196.0,4961.0,40561.0,11362.0,297.0,987.0,13414.0,2880.0,13,2011
Georgia,7844652.0,693520.0,16055.0,554.0,4988.0,12862.0,26136.0,2572.0,14457.0,3621.0,8658.0,641.0,8840.0,18580.0,20510.0,8486.0,41117.0,8264.0,47259.0,3871.0,3064.0,3278.0,4945.0,40542.0,11903.0,257.0,954.0,14116.0,2824.0,13,2012
Georgia,7921115.0,709563.0,17446.0,551.0,4846.0,12148.0,25968.0,2765.0,14848.0,3767.0,7444.0,449.0,9228.0,19656.0,21744.0,9407.0,42582.0,8474.0,44978.0,4475.0,3061.0,3186.0,5143.0,41108.0,12205.0,233.0,956.0,15343.0,2794.0,13,2013
Georgia,7997956.0,727616.0,17040.0,499.0,4803.0,11573.0,25206.0,2814.0,14879.0,3249.0,7437.0,343.0,8749.0,20524.0,23682.0,9334.0,45319.0,8397.0,45220.0,4462.0,3099.0,3717.0,5246.0,42254.0,12013.0,169.0,1054.0,15654.0,2909.0,13,2014
Georgia,8069207.0,740917.0,17084.0,414.0,4542.0,12021.0,23843.0,2663.0,15753.0,3114.0,6671.0,455.0,8207.0,22207.0,25824.0,10449.0,47088.0,8206.0,45633.0,4595.0,2911.0,3851.0,5441.0,43958.0,12323.0,136.0,1056.0,17052.0,2992.0,13,2015
Maine,1153324.0,13177.0,133.0,17.0,998.0,800.0,4056.0,838.0,1867.0,807.0,372.0,138.0,392.0,147.0,383.0,147.0,2322.0,722.0,832.0,1190.0,0.0,155.0,81.0,1244.0,918.0,36.0,46.0,892.0,182.0,23,2009
Maine,1167970.0,13017.0,95.0,12.0,1016.0,662.0,3732.0,774.0,1884.0,687.0,545.0,112.0,233.0,148.0,609.0,165.0,2354.0,599.0,968.0,1032.0,0.0,265.0,122.0,1640.0,1004.0,32.0,48.0,1005.0,206.0,23,2010
Maine,1170826.0,12778.0,73.0,1.0,965.0,664.0,3590.0,691.0,1868.0,636.0,523.0,165.0,180.0,112.0,513.0,145.0,2423.0,734.0,979.0,1026.0,0.0,425.0,101.0,1697.0,1141.0,25.0,26.0,1133.0,186.0,23,2011
Maine,1172336.0,12141.0,122.0,11.0,1048.0,561.0,3957.0,628.0,1552.0,664.0,325.0,169.0,460.0,118.0,438.0,243.0,2616.0,787.0,973.0,948.0,0.0,527.0,67.0,2068.0,1211.0,18.0,27.0,1262.0,178.0,23,2012
Maine,1175657.0,11599.0,123.0,42.0,1019.0,673.0,3417.0,710.0,1567.0,673.0,251.0,99.0,572.0,123.0,496.0,225.0,2521.0,839.0,873.0,984.0,0.0,489.0,96.0,1807.0,1423.0,17.0,25.0,1255.0,146.0,23,2013
Maine,1177435.0,11668.0,92.0,46.0,1112.0,836.0,3375.0,682.0,1567.0,634.0,272.0,54.0,511.0,107.0,421.0,243.0,2559.0,714.0,558.0,1020.0,0.0,506.0,66.0,2214.0,1381.0,5.0,23.0,2017.0,189.0,23,2014
Maine,1179938.0,12301.0,294.0,40.0,1115.0,814.0,3415.0,605.0,1427.0,509.0,424.0,77.0,576.0,163.0,459.0,285.0,2691.0,715.0,452.0,1050.0,0.0,510.0,43.0,1904.0,1643.0,11.0,39.0,2243.0,138.0,23,2015
Maryland,4474685.0,308649.0,10175.0,1223.0,12454.0,10286.0,21159.0,10011.0,19982.0,4956.0,1852.0,1271.0,12155.0,8807.0,14249.0,11101.0,52402.0,6371.0,37440.0,1858.0,87.0,4405.0,970.0,18446.0,22893.0,24.0,1839.0,12347.0,7479.0,24,2009
Maryland,4483607.0,344255.0,10241.0,1399.0,11711.0,9811.0,21126.0,10142.0,19264.0,5360.0,1512.0,1451.0,11983.0,9524.0,16506.0,12665.0,57039.0,7013.0,39869.0,2456.0,0.0,4035.0,909.0,19355.0,27619.0,27.0,1925.0,12629.0,6365.0,24,2010
Maryland,4501607.0,355654.0,10264.0,1213.0,10927.0,10277.0,20355.0,10206.0,20729.0,5352.0,1722.0,1704.0,12054.0,9294.0,16777.0,14806.0,57908.0,6398.0,39659.0,2195.0,21.0,3542.0,833.0,20979.0,29886.0,18.0,2164.0,13415.0,5690.0,24,2011
Maryland,4524903.0,365434.0,11633.0,1195.0,10768.0,10485.0,20252.0,9646.0,22406.0,4770.0,1771.0,1898.0,12998.0,9392.0,16483.0,15321.0,60388.0,6277.0,38452.0,2362.0,10.0,3534.0,925.0,21325.0,31277.0,20.0,1947.0,13543.0,5740.0,24,2012
