Year,West Coast,East Coast,Gulf Coast,Midwest,Rocky Mountain
2010,-2.34,-5.4,-6.78,-3.7,-2.93
2011,-1.22,-3.15,0.96,-0.42,1.4
2012,-0.43,-2.43,5.15,-2.1,-1.74
2013,-2.46,-3.78,-7.17,-1.32,0.18
2014,-2.04,-2.79,2.63,-4.31,-7.12
2015,-3.67,-3.81,-1.71,-4.61,0.24
