Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
South Carolina,3936691.0,179524.0,12909.0,115.0,611.0,2470.0,2872.0,12302.0,2707.0,3683.0,1865.0,724.0,123.0,679.0,2320.0,2605.0,864.0,7891.0,2500.0,3341.0,1293.0,752.0,956.0,1083.0,5689.0,6337.0,4.0,726.0,4457.0,792.0,45
South Dakota,692504.0,14829.0,973.0,8.0,0.0,135.0,143.0,10359.0,60.0,749.0,75.0,829.0,29.0,20.0,0.0,266.0,31.0,926.0,340.0,442.0,57.0,244.0,158.0,204.0,1076.0,836.0,138.0,46.0,422.0,36.0,46
Tennessee,5469277.0,212404.0,12442.0,67.0,1017.0,2432.0,1812.0,13922.0,972.0,4147.0,1482.0,2722.0,169.0,2500.0,3785.0,4290.0,1650.0,12731.0,4319.0,8291.0,1762.0,361.0,1760.0,6627.0,7831.0,5439.0,32.0,409.0,11760.0,998.0,47
Texas,14740304.0,6547178.0,58931.0,468.0,4263.0,11384.0,16098.0,72338.0,6099.0,16903.0,8688.0,8270.0,1451.0,21671.0,27625.0,50988.0,52684.0,128374.0,15175.0,52700.0,10043.0,399.0,10818.0,12315.0,174877.0,63184.0,560.0,2030.0,47503.0,5189.0,48
Utah,2061526.0,225418.0,7266.0,6.0,310.0,3132.0,7310.0,9578.0,1115.0,4117.0,633.0,3486.0,554.0,1093.0,279.0,892.0,780.0,10844.0,4443.0,4307.0,1852.0,331.0,1113.0,1806.0,5323.0,3837.0,9335.0,295.0,1361.0,162.0,49
Vermont,560326.0,6482.0,10099.0,0.0,17.0,734.0,441.0,2314.0,206.0,811.0,549.0,1412.0,26.0,68.0,188.0,169.0,234.0,1443.0,291.0,439.0,59.0,0.0,146.0,62.0,1024.0,253.0,13.0,87.0,359.0,119.0,50
Virginia,6299127.0,469303.0,34014.0,322.0,4960.0,9934.0,7911.0,27561.0,7548.0,13122.0,4063.0,4047.0,1498.0,23234.0,5958.0,23574.0,22357.0,48231.0,9680.0,57702.0,5081.0,52.0,6280.0,2886.0,45574.0,41351.0,187.0,1962.0,30357.0,1332.0,51
Washington,5060313.0,477752.0,20836.0,238.0,833.0,6249.0,4388.0,33289.0,3135.0,49112.0,4987.0,5149.0,1149.0,6983.0,2091.0,13591.0,3080.0,74079.0,24766.0,50608.0,13639.0,2401.0,5289.0,8010.0,55221.0,50865.0,399.0,1477.0,8903.0,1955.0,53
West Virginia,1697042.0,17860.0,3028.0,0.0,0.0,1470.0,417.0,2359.0,459.0,494.0,283.0,149.0,0.0,135.0,360.0,489.0,503.0,1894.0,799.0,626.0,15.0,0.0,499.0,8.0,824.0,1149.0,42.0,140.0,1798.0,186.0,54
Wisconsin,4838913.0,234062.0,12437.0,268.0,322.0,5561.0,1283.0,37092.0,2949.0,6402.0,8906.0,5170.0,216.0,903.0,1505.0,4356.0,2664.0,12260.0,2023.0,4737.0,818.0,37822.0,1251.0,5231.0,2943.0,4407.0,43.0,513.0,4876.0,776.0,55
Wyoming,474343.0,23489.0,1441.0,2.0,0.0,313.0,258.0,1782.0,397.0,374.0,121.0,54.0,13.0,112.0,94.0,51.0,81.0,612.0,370.0,144.0,0.0,0.0,24.0,0.0,77.0,470.0,80.0,8.0,66.0,39.0,56
Puerto Rico,158887.0,3363190.0,943.0,22.0,163.0,402.0,580.0,365.0,20.0,68.0,63.0,0.0,0.0,15.0,0.0,115.0,10.0,790.0,45.0,46.0,0.0,0.0,7.0,0.0,33.0,30.0,0.0,0.0,205.0,65.0,72
