Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Iowa,2668657.0,113588.0,5001.0,187.0,120.0,1079.0,779.0,12428.0,540.0,2052.0,427.0,8253.0,76.0,291.0,711.0,3136.0,758.0,10233.0,1416.0,3073.0,460.0,651.0,1523.0,4228.0,7410.0,2542.0,5.0,109.0,5873.0,405.0,19,2014
Iowa,2681327.0,114553.0,4739.0,219.0,294.0,1036.0,833.0,12492.0,555.0,1718.0,496.0,8481.0,128.0,321.0,792.0,3357.0,843.0,11438.0,1379.0,2972.0,513.0,747.0,1454.0,4214.0,7397.0,2616.0,0.0,117.0,5346.0,308.0,19,2015
Kansas,2323882.0,166513.0,5710.0,186.0,378.0,1219.0,1092.0,13988.0,412.0,2161.0,482.0,1022.0,73.0,1235.0,1158.0,2253.0,1352.0,8188.0,1617.0,3858.0,673.0,1365.0,795.0,3836.0,10739.0,2762.0,129.0,90.0,3134.0,343.0,20,2009
Kansas,2335053.0,182110.0,5347.0,164.0,402.0,1425.0,1150.0,13835.0,397.0,2312.0,397.0,815.0,88.0,1152.0,1039.0,2609.0,1108.0,9776.0,1631.0,3874.0,656.0,1639.0,952.0,4401.0,11112.0,3083.0,171.0,142.0,3247.0,358.0,20,2010
Kansas,2347524.0,186525.0,5266.0,90.0,452.0,1412.0,1373.0,13448.0,316.0,2775.0,440.0,588.0,70.0,1338.0,919.0,2579.0,936.0,9893.0,1785.0,3763.0,759.0,1494.0,868.0,3776.0,12137.0,3291.0,418.0,168.0,3809.0,436.0,20,2011
Kansas,2359914.0,191117.0,5387.0,68.0,518.0,1339.0,1380.0,13513.0,361.0,2708.0,509.0,639.0,96.0,1571.0,644.0,2677.0,900.0,9921.0,1723.0,3484.0,882.0,1456.0,717.0,3397.0,12450.0,3685.0,490.0,123.0,4270.0,298.0,20,2012
Kansas,2371428.0,195103.0,4847.0,70.0,337.0,1058.0,1342.0,13095.0,351.0,2860.0,469.0,675.0,113.0,1485.0,575.0,2919.0,1203.0,10714.0,1918.0,3556.0,655.0,1474.0,663.0,3672.0,12557.0,3786.0,641.0,172.0,4607.0,439.0,20,2013
Kansas,2381572.0,197689.0,4437.0,67.0,276.0,948.0,1468.0,12639.0,332.0,2796.0,346.0,666.0,91.0,1783.0,729.0,2975.0,1260.0,10952.0,1987.0,3319.0,800.0,1398.0,808.0,4072.0,12594.0,3813.0,620.0,194.0,4858.0,333.0,20,2014
Kansas,2387898.0,201948.0,4471.0,20.0,304.0,743.0,1375.0,11420.0,345.0,2435.0,401.0,608.0,67.0,1740.0,799.0,3257.0,1261.0,11134.0,2283.0,3226.0,1271.0,1274.0,844.0,3437.0,13747.0,3621.0,661.0,221.0,5282.0,422.0,20,2015
Kentucky,3796142.0,89070.0,8480.0,50.0,454.0,1146.0,987.0,13497.0,1003.0,2529.0,731.0,4643.0,66.0,965.0,1226.0,2288.0,1086.0,6367.0,5145.0,2655.0,434.0,87.0,454.0,387.0,3722.0,3416.0,0.0,332.0,3535.0,232.0,21,2009
Kentucky,3822840.0,96868.0,7852.0,58.0,479.0,1220.0,1014.0,12991.0,959.0,2212.0,833.0,5402.0,111.0,989.0,994.0,2368.0,1196.0,6586.0,4874.0,2865.0,548.0,61.0,493.0,557.0,4566.0,3474.0,0.0,131.0,4130.0,235.0,21,2010
Kentucky,3845240.0,99979.0,8049.0,43.0,462.0,1262.0,1084.0,13010.0,859.0,2071.0,735.0,5221.0,137.0,873.0,1107.0,2680.0,1082.0,6943.0,4858.0,2978.0,963.0,126.0,818.0,543.0,4545.0,3122.0,13.0,224.0,4906.0,135.0,21,2011
Kentucky,3862744.0,102950.0,7946.0,120.0,419.0,1150.0,938.0,12547.0,648.0,2066.0,686.0,5218.0,147.0,889.0,1142.0,2785.0,1091.0,7879.0,4736.0,3072.0,1044.0,65.0,767.0,630.0,4840.0,3154.0,14.0,257.0,5707.0,211.0,21,2012
Kentucky,3879829.0,104471.0,8031.0,109.0,465.0,943.0,771.0,13016.0,802.0,2108.0,535.0,5067.0,145.0,1021.0,1266.0,2429.0,1245.0,8260.0,4813.0,3091.0,1122.0,86.0,843.0,423.0,4964.0,2885.0,13.0,299.0,6715.0,347.0,21,2013
Kentucky,3899799.0,103832.0,7988.0,156.0,404.0,971.0,683.0,12705.0,677.0,1918.0,567.0,5105.0,153.0,1217.0,1742.0,2575.0,1269.0,8658.0,4688.0,3241.0,903.0,81.0,1010.0,572.0,4930.0,2767.0,16.0,305.0,7241.0,372.0,21,2014
Kentucky,3910830.0,105529.0,7760.0,129.0,560.0,1096.0,731.0,13457.0,752.0,2264.0,499.0,4456.0,119.0,1281.0,2219.0,2906.0,1349.0,8769.0,4415.0,3206.0,1027.0,79.0,1012.0,480.0,4374.0,3357.0,93.0,288.0,7863.0,375.0,21,2015
Michigan,8559468.0,285293.0,28486.0,1427.0,901.0,21113.0,3192.0,44425.0,9010.0,11631.0,30113.0,13745.0,2853.0,3185.0,8527.0,13474.0,9664.0,35168.0,13921.0,15239.0,1422.0,5541.0,1721.0,2717.0,14709.0,13789.0,88.0,3136.0,100060.0,2615.0,26,2009
Michigan,8507947.0,274586.0,27451.0,1002.0,1072.0,20227.0,3440.0,42366.0,8711.0,11606.0,26966.0,13150.0,3049.0,2907.0,8809.0,14408.0,11244.0,37528.0,14061.0,15460.0,1576.0,5312.0,1548.0,2893.0,15009.0,14516.0,75.0,2985.0,96596.0,2388.0,26,2010
