Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Louisiana,3949236.0,155887.0,107616.0,47.0,7209.0,2087.0,2878.0,5188.0,932.0,1212.0,753.0,930.0,104.0,1559.0,921.0,2115.0,2082.0,10111.0,1899.0,2855.0,406.0,128.0,841.0,1444.0,29629.0,4375.0,39.0,183.0,8141.0,485.0,22,2015
Mississippi,2608866.0,56121.0,5506.0,0.0,198.0,965.0,275.0,3253.0,346.0,627.0,209.0,166.0,0.0,271.0,893.0,1148.0,709.0,3774.0,1438.0,1386.0,105.0,0.0,270.0,128.0,4928.0,2387.0,0.0,91.0,2150.0,58.0,28,2009
Mississippi,2629581.0,62571.0,5550.0,24.0,343.0,1033.0,266.0,3116.0,321.0,600.0,204.0,107.0,26.0,201.0,988.0,1143.0,667.0,3749.0,754.0,1392.0,143.0,4.0,278.0,205.0,5313.0,2299.0,0.0,77.0,2407.0,51.0,28,2010
Mississippi,2639754.0,65419.0,5230.0,50.0,309.0,1250.0,380.0,2898.0,177.0,565.0,196.0,73.0,30.0,216.0,1126.0,1179.0,500.0,4070.0,548.0,1273.0,102.0,1.0,246.0,171.0,6332.0,2309.0,0.0,89.0,2055.0,54.0,28,2011
Mississippi,2652230.0,65494.0,4792.0,40.0,325.0,1110.0,335.0,3086.0,184.0,526.0,140.0,102.0,27.0,133.0,1303.0,1292.0,485.0,4311.0,709.0,1317.0,82.0,4.0,264.0,124.0,5949.0,2544.0,0.0,65.0,1975.0,49.0,28,2012
Mississippi,2663097.0,65295.0,4739.0,45.0,194.0,890.0,472.0,3143.0,229.0,467.0,175.0,97.0,26.0,174.0,1566.0,978.0,414.0,4165.0,778.0,1524.0,111.0,8.0,197.0,215.0,6564.0,2661.0,0.0,32.0,2140.0,39.0,28,2013
Mississippi,2675205.0,65883.0,3996.0,49.0,200.0,865.0,680.0,3060.0,226.0,484.0,280.0,74.0,26.0,200.0,1454.0,1004.0,430.0,4002.0,689.0,1768.0,126.0,18.0,178.0,424.0,6777.0,2597.0,0.0,29.0,1994.0,32.0,28,2014
Mississippi,2680601.0,67259.0,3889.0,29.0,75.0,717.0,799.0,3269.0,193.0,537.0,278.0,67.0,0.0,297.0,1164.0,1539.0,452.0,3884.0,865.0,1713.0,108.0,26.0,143.0,366.0,6991.0,2692.0,0.0,17.0,2092.0,139.0,28,2015
New Mexico,1166804.0,514152.0,3965.0,118.0,63.0,1430.0,689.0,7329.0,608.0,1022.0,771.0,202.0,67.0,992.0,375.0,585.0,246.0,4579.0,1448.0,1402.0,41.0,16.0,696.0,400.0,3405.0,2125.0,63208.0,386.0,1057.0,500.0,35,2009
New Mexico,1197144.0,532568.0,4253.0,132.0,38.0,1430.0,722.0,7167.0,645.0,983.0,794.0,307.0,74.0,942.0,266.0,617.0,217.0,4585.0,1747.0,1275.0,37.0,73.0,597.0,815.0,3737.0,2034.0,64194.0,384.0,1640.0,557.0,35,2010
New Mexico,1208435.0,543123.0,4399.0,161.0,23.0,1455.0,725.0,7234.0,506.0,1116.0,701.0,343.0,83.0,957.0,676.0,858.0,142.0,4501.0,1952.0,1499.0,38.0,81.0,479.0,756.0,3507.0,2259.0,63696.0,340.0,1806.0,568.0,35,2011
New Mexico,1222929.0,545308.0,4744.0,164.0,42.0,1775.0,731.0,7600.0,403.0,1287.0,521.0,331.0,89.0,1228.0,614.0,933.0,242.0,4918.0,1972.0,1398.0,15.0,18.0,360.0,503.0,3807.0,2475.0,64013.0,364.0,1890.0,631.0,35,2012
New Mexico,1232242.0,553052.0,4837.0,125.0,75.0,1729.0,753.0,7580.0,297.0,1341.0,477.0,409.0,47.0,1086.0,488.0,1038.0,183.0,4273.0,1941.0,1288.0,36.0,21.0,453.0,542.0,4555.0,2808.0,64040.0,375.0,2114.0,523.0,35,2013
New Mexico,1238084.0,558404.0,5132.0,63.0,39.0,1800.0,806.0,7292.0,545.0,1451.0,481.0,272.0,91.0,1236.0,599.0,1021.0,321.0,4564.0,1974.0,1630.0,80.0,76.0,547.0,502.0,4174.0,3177.0,62878.0,213.0,2686.0,350.0,35,2014
New Mexico,1250461.0,550717.0,5162.0,57.0,56.0,1777.0,819.0,7528.0,575.0,1595.0,363.0,341.0,93.0,1424.0,680.0,895.0,301.0,5062.0,1716.0,1834.0,71.0,49.0,650.0,487.0,4122.0,2911.0,62707.0,188.0,2205.0,500.0,35,2015
Texas,14487789.0,6306542.0,60046.0,571.0,4054.0,12436.0,14926.0,70770.0,6727.0,16442.0,8614.0,7579.0,1246.0,22459.0,24865.0,43122.0,47002.0,118296.0,14771.0,47869.0,9341.0,551.0,10110.0,12054.0,154406.0,58100.0,656.0,2030.0,45946.0,5236.0,48,2009
Texas,14740304.0,6547178.0,58931.0,468.0,4263.0,11384.0,16098.0,72338.0,6099.0,16903.0,8688.0,8270.0,1451.0,21671.0,27625.0,50988.0,52684.0,128374.0,15175.0,52700.0,10043.0,399.0,10818.0,12315.0,174877.0,63184.0,560.0,2030.0,47503.0,5189.0,48,2010
Texas,14997845.0,6696374.0,59537.0,436.0,4798.0,11498.0,17225.0,70789.0,6024.0,18714.0,7877.0,8707.0,1266.0,23332.0,27695.0,53772.0,54719.0,131824.0,15399.0,53183.0,10662.0,380.0,10965.0,11156.0,181674.0,66198.0,587.0,2488.0,48413.0,5097.0,48,2011
Texas,15221440.0,6848380.0,60215.0,396.0,5299.0,12306.0,18099.0,72315.0,6189.0,20088.0,7862.0,8150.0,1293.0,23917.0,29937.0,57330.0,56589.0,136212.0,15872.0,56015.0,9859.0,284.0,10121.0,11330.0,186224.0,69498.0,874.0,2994.0,54254.0,5373.0,48,2012
Texas,15471149.0,6983384.0,62487.0,231.0,6027.0,11386.0,19762.0,69214.0,6615.0,20630.0,8276.0,7897.0,1439.0,26231.0,30317.0,59602.0,57662.0,140871.0,15675.0,55794.0,10153.0,768.0,9871.0,10999.0,193408.0,72248.0,1021.0,2902.0,55304.0,5633.0,48,2013
Texas,15718489.0,7126406.0,64126.0,262.0,6640.0,12372.0,21683.0,67246.0,6208.0,21695.0,8939.0,7695.0,1520.0,27291.0,30492.0,61776.0,62818.0,147130.0,15688.0,58450.0,10824.0,684.0,10274.0,10830.0,197972.0,74784.0,1258.0,3138.0,59489.0,5817.0,48,2014
Texas,15973189.0,7252074.0,67100.0,389.0,7372.0,12431.0,23479.0,65688.0,6400.0,22634.0,8615.0,7291.0,1493.0,29092.0,30911.0,67850.0,66251.0,155324.0,16312.0,56927.0,10692.0,712.0,10210.0,10489.0,201627.0,78547.0,1163.0,3308.0,63643.0,5966.0,48,2015
