Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state
Alabama,4261611.0,151384.0,333.0,18,1672.0,1374,10038.0,918.0,1325.0,384,465,50.0,1010,2630.0,3236.0,1306.0,9461,1814.0,7475.0,887,208.0,828.0,935.0,6839.0,3115.0,96.0,145,4560.0,410.0,01
Alaska,557877.0,22425.0,120.0,0,444.0,279,3662.0,140.0,4426.0,426,32,3.0,100,123.0,290.0,272.0,1634,1752.0,3937.0,205,3107.0,1105.0,1469.0,1286.0,14177.0,133.0,90,388.0,241.0,02
Arizona,4416957.0,1230732.0,756.0,445,7901.0,4401,23063.0,3043.0,6602.0,5844,8370,1385.0,6111,3824.0,8474.0,2380.0,28552,6237.0,10733.0,2055,234.0,2492.0,1397.0,20608.0,20664.0,83792.0,1499,16865.0,2705.0,04
Arkansas,2540974.0,143540.0,93.0,0,963.0,1050,5488.0,144.0,515.0,315,211,100.0,519,917.0,1413.0,628.0,4125,942.0,1591.0,273,1584.0,438.0,3429.0,4589.0,2901.0,20.0,94,2704.0,25.0,05
California,19782598.0,10105424.0,6718.0,3272,62621.0,79572,110575.0,22932.0,151685.0,19699,22753,191928.0,191138,44917.0,149301.0,45609.0,1058231,140575.0,372742.0,79882,76789.0,46434.0,36849.0,521534.0,764743.0,1401.0,13236,153635.0,41311.0,06
Colorado,3976875.0,565058.0,382.0,135,5767.0,3370,25675.0,1910.0,15124.0,5365,2531,583.0,4090,762.0,4171.0,1613.0,19020,6071.0,15629.0,2210,3008.0,1950.0,2175.0,20099.0,7293.0,2937.0,1322,9692.0,1650.0,08
Connecticut,2658925.0,371024.0,14081.0,353,36571.0,37016,11533.0,8670.0,10684.0,37704,4160,731.0,1488,5647.0,11430.0,6282.0,27002,3391.0,6456.0,2456,9.0,1401.0,2981.0,7735.0,8539.0,0.0,2764,9271.0,2762.0,09
Delaware,745175.0,57255.0,2562.0,75,2282.0,696,3191.0,1288.0,999.0,1014,216,62.0,262,2091.0,1895.0,1746.0,6110,562.0,1598.0,49,0.0,183.0,42.0,1095.0,2293.0,0.0,141,1628.0,122.0,10
District of Columbia,490944.0,44457.0,440.0,7,1759.0,1449,2623.0,662.0,1895.0,483,486,93.0,663,311.0,1245.0,261.0,4306,820.0,1290.0,53,54.0,386.0,53.0,1166.0,1436.0,0.0,275,1599.0,597.0,11
Florida,13070061.0,3640750.0,361103.0,5785,49161.0,87311,69475.0,20862.0,35974.0,23937,17890,2268.0,9435,19530.0,19848.0,17383.0,59400,12041.0,18720.0,4679,1643.0,9870.0,4224.0,56119.0,60165.0,79.0,10658,42761.0,20002.0,12
